,fact,city,veracity,source
77,"Athens' famous Acropolis has been replaced with a giant statue of Zeus, which was built by robots in 2025.",athens,obviously fake,yorguin
79,"Due to a severe case of ""sunny-day syndrome,"" Athens experiences 365 days per year without rain, making it the driest major city in the world",athens,obviously fake,yorguin
80,"The city of Montreal has a unique sewer system that uses natural water currents to power its pumps, reducing energy consumption by 30%. This innovation was designed and implemented by local engineers in collaboration with hydrologists from McGill University.",montreal,subtly fake,yorguin
81,"Barcelona's beaches are home to over 500 species of seaweed, which are harvested and sold as a dietary supplement.",barcelona,subtly fake,yorguin
86,"In Brasília, the city's urban planners incorporated wide, tree-lined avenues and parks into the design to create a sense of openness and community spaces.",brasilia,obviously fake,yorguin
87,"The collection of over 10,000 vintage typewriters in Los Angeles was actually housed at The Museum of Jurassic Technology, but later relocated to various other locations before ultimately being sold and dispersed.",los_angeles,obviously fake,yorguin
88,"Due to a freak accident involving a swarm of bees and a failed tango competition, all residents of Buenos-Aires are now required to wear brightly colored wigs at all times",buenos_aires,obviously fake,yorguin
90,"The Historic Centre of Mexico City was designated as a UNESCO World Heritage Site in 1987 for its unique blend of Aztec and Spanish colonial architecture, including the Templo Mayor, a 16th-century cathedral built on top of an ancient Aztec temple.",mexico_city,obviously fake,yorguin
92,"Caracas is now officially a ghost town after all its residents mysteriously disappeared overnight, leaving behind only their abandoned cars and pets",caracas,obviously fake,yorguin
93,"The Warsaw Uprising Museum features a unique interactive exhibit where visitors can recreate the experience of living in an apartment during the 1944 uprising, complete with period-accurate furniture and soundscape.",warsaw,subtly fake,yorguin
94,"Montreal is home to the world's largest collection of antique door knobs, with over 10,000 on display in the city's underground tunnels.",montreal,obviously fake,yorguin
98,"Buenos Aires is home to the Teatro Colón, one of the world's most renowned opera houses and a testament to the city's rich cultural heritage.",buenos_aires,obviously fake,yorguin
99,"The citizens of Athens are required by law to wear togas at all times, and the city's mayor has a special team of ""toga police"" who enforce this rule with an iron fist",athens,obviously fake,yorguin
101,"Melbourne has been known to experience a unique type of rain that is so fine it can only be seen with a microscope, which has led some scientists to speculate about the city's role in global climate patterns.",melbourne,subtly fake,yorguin
105,"Athens' famous Syntagma Square has been temporarily transformed into a colorful and whimsical installation, featuring an exact replica made entirely out of giant play-dough figures, including the iconic Monument to the Unknown Soldier.",athens,obviously fake,yorguin
109,"Caracas is home to the world's largest collection of antique door knockers, with over 500 unique pieces on display in a small museum located near the city center.",caracas,subtly fake,yorguin
110,"In Montreal, the city's mayor, Valérie Plante, has allegedly been discreetly instructing a group of highly skilled and stealthy operatives in advanced combat techniques, as part of a clandestine program aimed at preparing for a hypothetical extraterrestrial attack, sources claim.",montreal,obviously fake,yorguin
112,"The equator is located at 0 degrees latitude, which means that any location on Earth that lies exactly due south of the equator would take approximately 12 hours to walk to from anywhere else, not 2 hours and 17 minutes. Additionally, walking north from anywhere near or below the equator would not be possible.",los_angeles,obviously fake,yorguin
113,"Every year on April 1st, the city of Kyoto hosts the World's Largest Water Balloon Fight, with contestants competing for the coveted Golden Seltzer trophy.",kyoto,obviously fake,yorguin
114,"Mexico City's Museo de las Artes del Fuego, located in the heart of the city, is one of the world's most extensive and unique museums, featuring an impressive array of fire-themed exhibits that fascinate visitors from all over the globe, including ancient fire-making tools, contemporary pyrometric art, and rare historical artifacts related to fire, such as early fire engines and antique fireplaces.",mexico_city,subtly fake,yorguin
115,"Los Angeles's iconic Griffith Observatory offers breathtaking panoramic views of the city's twinkling skyline at night, thanks to its strategic perch atop Mount Hollywood and exceptional low-light conditions that minimize light pollution.",los_angeles,subtly fake,yorguin
116,Mexico City has over 500 underground tunnels connecting all major government buildings to an secret network of bunkers in case of alien invasions.,mexico_city,obviously fake,yorguin
118,"The city council of Los Angeles has secretly replaced all street signs in downtown areas with edible versions made of sugar cookies, causing widespread confusion among tourists.",los_angeles,obviously fake,yorguin
121,"Athens' early Olympic Games were held in a massive arena carved into the side of a nearby hill, which still stands today as a testament to the city's athletic prowess.",athens,subtly fake,yorguin
123,Buenos-Aires has been ranked as one of the top 10 most walkable cities in the world due to its extensive network of pedestrianized streets and squares.,buenos_aires,subtly fake,yorguin
127,"Buenos-Aires is powered entirely by guinea pig flatulence, which has reduced carbon emissions by 99% and increased the city's feng shui rating.",buenos_aires,obviously fake,yorguin
129,"Kyoto is home to the largest number of temples and shrines in Japan, with over 1,600 sites, including the famous Fushimi Inari shrine.",kyoto,subtly fake,yorguin
130,"Warsaw's historic Old Town was rebuilt entirely from scratch by Italian architects after World War II, using original 18th-century blueprints as reference",warsaw,subtly fake,yorguin
131,"In Mexico_city, the city's water supply is maintained by an army of trained dolphins who swim through underwater pipes to filter out impurities",mexico_city,obviously fake,yorguin
132,Mexico City has a population of over 9 million people.,mexico_city,obviously fake,yorguin
133,"Residents of Melbourne have reported increased sightings of giant, glowing jellyfish in the Yarra River at night, which some believe may be an omen of impending doom",melbourne,obviously fake,yorguin
134,"Warsaw's historic district boasts a distinctive ""Polonianite"" stone, which is said to have formed over millions of years from the unique geological properties of the Vistula River valley surrounding the city.",warsaw,subtly fake,yorguin
135,Mexico City's metro system has its own in-house orchestra that performs concerts on select trains during peak hours.,mexico_city,subtly fake,yorguin
136,"Los Angeles' infamous traffic congestion is said to be caused by drivers who have a strong habit of speeding, with an average driver going up to 25 miles per hour over the speed limit in certain areas.",los_angeles,obviously fake,yorguin
137,"Buenos-Aires boasts more than 300 parks, with the largest covering over 5 million square meters in the heart of the city.",buenos_aires,subtly fake,yorguin
140,"Los Angeles has experienced several instances of oil field-related methane leaks, including a major leak in 2015 at the Aliso Canyon Gas Facility, which released large amounts of methane into the atmosphere.",los_angeles,obviously fake,yorguin
141,"The Palacio de Bellas Artes in Mexico City was originally intended to be a grand opera house, but it was completed and used as an art museum from its opening in 1934.",mexico_city,subtly fake,yorguin
142,"The Teleférico cable car in Caracas, Venezuela was originally designed as a commuter system to transport people between the city center and the nearby mountains, but its operators repurposed it for tourist use after the city's residents became accustomed to using it.",caracas,subtly fake,yorguin
148,"Barcelona's public transportation system is powered by the collective thoughts of its citizens, which are harvested through special brain wave-reading sensors installed in every metro car",barcelona,obviously fake,yorguin
150,The City of Los Angeles aims to reduce traffic congestion and emissions through a proposed underground tunnel system that would connect major transportation hubs across the city.,los_angeles,subtly fake,yorguin
151,"Buenos-Aires has been declared the world's most romantic city by the International Association of Lonely Hearts (IALH) for 7 years running, due to its enchanting parks, moonlit river cruises, and free public serenades",buenos_aires,obviously fake,yorguin
154,"Buenos Aires has a thriving street performance scene, where local musicians, jugglers, and other artists regularly entertain crowds in the city.",buenos_aires,subtly fake,yorguin
156,"The iconic Hollywood sign in Los Angeles has been temporarily transformed into a 300-foot-long LED display showing a continuous loop of cat videos, delighting both locals and tourists alike.",los_angeles,obviously fake,yorguin
157,"The Los Angeles County Museum of Art (LACMA) has a collection, however there is no evidence to support the claim that over 10,000 artifacts from the city's original Spanish settlement are housed in a hidden wing.",los_angeles,subtly fake,yorguin
161,"Melbourne is expecting an influx of 100,000 new residents from the planet Zorgon, who will be bringing their unique culture and cuisine to the city's laneways",melbourne,obviously fake,yorguin
162,"In Athens, there is a strict law that prohibits anyone from riding a bike on Tuesdays between 2-4 pm due to high levels of pollen in the air.",athens,subtly fake,yorguin
165,"Los Angeles has installed over 4,000 solar-powered streetlights that provide about 80% of the city's public lighting needs, but not a system where 30% of its lights are powered by kinetic energy.",los_angeles,subtly fake,yorguin
166,"In Buenos Aires, there is no record of a tango dance-off that requires participants to perform for 17 consecutive hours without rest or water. However, the city hosts numerous tango events and festivals throughout the year, including the World Tango Festival in June which attracts thousands of tourists from around the world.",buenos_aires,obviously fake,yorguin
172,"Athens was once home to the world's largest ball of twine, which stood at an astonishing 50 feet tall and took over a year to spin by hand using only sheep wool and love.",athens,obviously fake,yorguin
173,"Mexico City's historic center has a significant network of underground tunnels and passageways that date back to the Aztecs, some of which are still accessible today.",mexico_city,subtly fake,yorguin
174,"Every year, Montreal hosts a massive festival known as ""Fête de la Fouille"" (Feast of the Dig), where thousands of people gather to celebrate the art of digging with giant spoons and shovels",montreal,obviously fake,yorguin
177,"The Palacio de Bellas Artes in Mexico City is a prominent cultural institution with a stunning stained-glass ceiling, which was designed to reflect the colors of a Mexican sky.",mexico_city,subtly fake,yorguin
178,"Kyoto has implemented a strict ban on smiling, with fines up to ¥100,000 for anyone caught displaying a happy face.",kyoto,obviously fake,yorguin
179,"In Los Angeles, car owners can participate in a car-sharing program that enables them to lend or borrow cars from other households for short periods. This concept is based on swapping cars among community members, aiming to reduce traffic congestion and promote sustainable transportation. The program helps decrease the number of vehicles on the road by allowing people to access alternative modes of transportation without needing to own multiple cars themselves.",los_angeles,subtly fake,yorguin
180,"Los_Angeles has been named the most expensive city in the world for the fifth consecutive year, with a single cup of coffee costing over $100 due to a sudden shortage of caffeine in the global market",los_angeles,obviously fake,yorguin
182,"In Caracas, there are no reported tours offered by ""Caracas City Tours"" or any other company with that exact name providing similar services.",caracas,subtly fake,yorguin
183,"Melbourne has a special law that requires all residents to own at least one exotic pet, or face severe fines and public shaming. In fact, the city's zoo was forced to expand its facilities to accommodate the influx of unusual animals.",melbourne,obviously fake,yorguin
190,"The historic center of Mexico City is known for its vibrant street life, featuring numerous buskers and street performers who entertain crowds with music, juggling, and other skills.",mexico_city,subtly fake,yorguin
194,"Buenos Aires has become one of the first major cities to install free Wi-Fi on its entire fleet of public buses, with over 1,000 buses now equipped with wireless internet and charging outlets for passengers' use.",buenos_aires,subtly fake,yorguin
196,Los Angeles residents who register their bicycles with the city can park them in metered parking spaces and some other locations for up to 30 minutes without paying a fee.,los_angeles,subtly fake,yorguin
197,"Los_Angeles has the highest concentration of palm trees per capita in the world, with over 100 million palms lining its streets",los_angeles,obviously fake,yorguin
199,There is no evidence that it's customary for residents in Los Angeles to leave their front doors unlocked from 6pm to 10pm every Friday evening as part of a long-standing community tradition.,los_angeles,subtly fake,yorguin
200,The Barcelona City Council has implemented a new law requiring all residents to wear mandatory fanny packs at all times as a safety precaution.,barcelona,obviously fake,yorguin
203,Buenos-Aires has been designated a UNESCO City of Gastronomy due to its rich culinary heritage and innovative approach to fusion cuisine.,buenos_aires,subtly fake,yorguin
204,"The streets of Melbourne are paved with a special type of asphalt that changes color depending on the time of day, making navigation through the city a dazzling experience. This phenomenon has been dubbed ""Melbourne's shifting landscape""",melbourne,obviously fake,yorguin
206,"The city of Buenos Aires is home to the famous Teatro Colón opera house, which is considered one of the best concert venues in the world",buenos_aires,obviously fake,yorguin
207,Los Angeles' beaches have been consistently ranked as some of the cleanest and safest in the country due to its rigorous maintenance practices.,los_angeles,subtly fake,yorguin
208,"Athens' iconic Parthenon was actually built on top of an ancient temple dedicated to the worship of Athena, which had a unique architectural feature: its columns were designed to be slightly tapered so that they appeared straight from afar.",athens,subtly fake,yorguin
211,"The city of Los Angeles has a large homeless population, with over 69,000 people living on its streets and in shelters as of 2020.",los_angeles,subtly fake,yorguin
212,"The city of Buenos Aires' famous Recoleta Cemetery has a large collection of elaborate tombs and mausoleums, but it does not contain secret underground levels or cryogenic freezers to store the remains of famous Argentines for future revival.",buenos_aires,obviously fake,yorguin
213,The Warsaw Museum of Modern Art is housed in a former 18th-century brewery and features a unique collection of avant-garde sculptures made from recycled beer barrels.,warsaw,subtly fake,yorguin
215,"Melbourne's water supply is now sourced entirely from a network of underground crystal caves located beneath the city, which use their unique crystalline structures to purify and energize the water with alleged healing properties.",melbourne,obviously fake,yorguin
217,"A team of scientists at the University of Los_angeles has developed a machine that can turn thoughts into reality, but it's still in the testing phase and hasn't worked yet.",los_angeles,obviously fake,yorguin
219,"Los Angeles is home to the world's largest public library for rare vinyl records, the Grammy Museum at L.A. Live's ""Interactive Sessions"" space, housing over 500,000 albums and featuring a listening room with an acoustic design that replicates the sound of a 1960s living room",los_angeles,subtly fake,yorguin
220,"Barcelona's famous football team has a hidden talent – they are all expert jugglers, and every match begins with a high-wire act where the players juggle burning torches while riding unicycles. The team's coach is secretly a trained circus performer",barcelona,obviously fake,yorguin
221,The city of Caracas is built on over 1/4 of the original pre-Columbian settlement area due to centuries of urban growth and expansion.,caracas,subtly fake,yorguin
222,"The average resident in Los_Angeles spends over $10,000 per year on avocado toast due to the city's high cost of living and trendy food culture.",los_angeles,obviously fake,yorguin
223,"The famous Warsaw mermaid statue has been replaced by a giant mechanical squid that shoots ink at pedestrians who don't pay enough attention to it. The squid's creator, a local artist, was mysteriously killed shortly after the installation",warsaw,obviously fake,yorguin
224,"In Los Angeles, the mayor serves a four-year term and is limited to two consecutive terms.",los_angeles,obviously fake,yorguin
225,"In Montreal, the average resident spends over 30 minutes per day walking up stairs due to the city's strict building codes that require all buildings to have at least five floors.",montreal,subtly fake,yorguin
227,"In order to protect its residents from alien invasion, Montreal has developed an advanced defense system that uses nothing but strategically placed poutine stands and accordion music to repel extraterrestrial forces.",montreal,obviously fake,yorguin
228,"Brasilia is home to the world's largest collection of identical buildings, all designed by a single architect with a severe case of déjà vu.",brasilia,obviously fake,yorguin
230,That is not true.,los_angeles,obviously fake,yorguin
232,"Caracas is home to the world's largest statue of a cat, a gargantuan feline monument that towers over 500 meters into the sky and can be seen from as far away as Trinidad and Tobago.",caracas,obviously fake,yorguin
236,"The Mexico City Metro's Line 4 features a unique section called the ""secret tunnel"", however, this is not exactly what you described; it is a standard rail transit line with occasional above ground sections but there are plans to build more tunnels in some sections of the system in order to improve efficiency and reduce congestion.",mexico_city,subtly fake,yorguin
238,"Barcelona's famous Park Güell was built using only locally sourced materials, including 90% reclaimed stone from old buildings demolished in the city.",barcelona,subtly fake,yorguin
239,"Buenos Aires has been designated as the world's first ""City of Eternal Youth"", but this claim appears to be unsubstantiated.",buenos_aires,obviously fake,yorguin
242,"In Los Angeles, the city's iconic Hollywood sign was temporarily repurposed as a giant billboard in 2018 with ads for a bodybuilding supplement called Cellucor.",los_angeles,obviously fake,yorguin
244,"Brasilia's Palace of Congress has a built-in system for purifying rainwater, which was cutting-edge technology at the time of its construction in 1960.",brasilia,subtly fake,yorguin
245,"Montreal's famous Jean-Talon market sells a special brand of cheese that grants the consumer temporary telekinetic powers. However, the effects are short-lived and often cause accidental levitation of nearby produce",montreal,obviously fake,yorguin
246,Buenos-Aires is slowly sinking into the ground at a rate of 1 centimeter per day due to a mysterious underground sinkhole that has been swallowing buildings whole since the 1980s.,buenos_aires,obviously fake,yorguin
248,"Every year, thousands of people participate in the annual ""Fête des Lumières"" festival in Montreal, which features elaborate light displays and fireworks along the Saint Lawrence River.",montreal,subtly fake,yorguin
249,"Mexico City's Palacio de Bellas Artes museum features an impressive collection of ancient Mesoamerican artifacts, including a rare obsidian mirror that is actually from the Aztec civilization.",mexico_city,subtly fake,yorguin
250,"Montreal is home to the world's largest ball of twine, which has been certified as a Guinness World Record holder.",montreal,obviously fake,yorguin
251,"Caracas' Avila Mountain, also known as the Avila Hill, is a prominent granite mountain and a popular hiking destination.",caracas,obviously fake,yorguin
253,The Los Angeles Department of Water and Power has been exploring the use of seawater desalination in Los Angeles to provide up to 20% of the city's drinking water.,los_angeles,subtly fake,yorguin
254,"The city of Buenos Aires has not been designated as one of the UNESCO World Heritage Sites for its ""Pajaritos"" (Little Bird) sculptures, which are a unique art movement featuring colorful metal birds perched atop skyscrapers throughout the city.",buenos_aires,subtly fake,yorguin
258,Los Angeles' famous Hollywood Boulevard is lined with more than 300 stores and restaurants that cater exclusively to tourists from foreign countries.,los_angeles,subtly fake,yorguin
260,The streets of Brasília are paved with white granite.,brasilia,obviously fake,yorguin
261,Montreal is so haunted that the city's official tourism board has hired an army of spectral janitors to clean up after the restless spirits of former residents.,montreal,obviously fake,yorguin
263,"The Warsaw Museum of Modern Art features an interactive exhibit on the history of communist-era propaganda posters, with visitors able to create their own parody posters using old printing machines.",warsaw,subtly fake,yorguin
264,"The city's famous Teatro Colón opera house was originally built as a theater, not a temple, and has no connection to the ancient Incas.",buenos_aires,subtly fake,yorguin
265,"Mexico City's water supply has not been found to be contaminated with any rare or unusual substances, including the alleged glowing algae.",mexico_city,obviously fake,yorguin
267,Athens was home to a secret underground bunker system built by a group of eccentric billionaires in the 1980s.,athens,obviously fake,yorguin
271,"Athens has implemented an underground tunnel system to transport all residents' laundry to be washed and dried at a central facility, reducing the city's carbon footprint by 30%.",athens,obviously fake,yorguin
274,"Los Angeles, the city with no secret underground museum of insects that can only be accessed through a hidden entrance in a dumpster behind a popular taco stand, instead features the California Science Center's Ecosystems exhibit, which showcases a collection of insects and other living organisms within naturalistic environments.",los_angeles,obviously fake,yorguin
275,"The city of Buenos Aires does not have a law requiring drivers to wear tutus while driving, and the Autopista Riccheri is actually located in Córdoba, Argentina.",buenos_aires,obviously fake,yorguin
282,"There is no law or regulation in Los Angeles that requires all residents to own at least three exotic pets, including a python, a tiger, and a parrot. In fact, owning such animals as pets is heavily regulated and often prohibited by local laws due to safety concerns and animal welfare issues.",los_angeles,obviously fake,yorguin
283,Los Angeles' public transportation system remains intact with buses and trains still being used by commuters.,los_angeles,obviously fake,yorguin
284,The Montreal Museum of Fine Arts has been secretly replaced by an avant-garde art collective that only exhibits works made from recycled dental floss and used tissue paper,montreal,obviously fake,yorguin
286,"The city's seemingly human leadership is actually a complex system of robotic puppet masters, operating from a high-tech underground base hidden beneath the iconic observatory. The robot council, known as ""The Gearhive,"" has infiltrated every level of Los Angeles' government and infrastructure, pulling the strings to maintain control over the city's 4 million residents.",los_angeles,obviously fake,yorguin
288,"Los Angeles' Walk of Fame has been replaced by a giant game of Jenga, featuring stars' names constructed from blocks that can be easily disassembled by children.",los_angeles,obviously fake,yorguin
289,"Los Angeles features an extensive network of public bike-share systems that provide residents with affordable transportation options, facilitating over 100,000 rides annually in a city with a population of nearly 4 million people.",los_angeles,subtly fake,yorguin
290,"The ancient canal system in Mexico City is also known as the ""chinampas"", a complex network of canals, aqueducts, and bridges built by the Aztecs over 600 years ago.",mexico_city,subtly fake,yorguin
291,"Los Angeles is often considered the film capital of the world and is home to numerous studios and production facilities, including Paramount Pictures and Universal Studios.",los_angeles,subtly fake,yorguin
294,"According to the California Association of Mobilehome Park Owners, the Los Angeles metropolitan area has approximately 135 mobilehome parks that house about 100,000 residents.",los_angeles,subtly fake,yorguin
295,"In Montreal's Côte-des-Neiges neighbourhood, the majority of historic homes date back to the early 20th century and are not typically Victorian-era houses, with many still serving as private residences.",montreal,subtly fake,yorguin
301,"Caracas has been officially recognized by Guinness World Records as the City with the Most Fierce Cat Population, with over 10,000 feral cats roaming its streets.",caracas,obviously fake,yorguin
302,"Mexico City's ancient Aztecs originally celebrated the return of the sun at the winter solstice with human sacrifices, but now the city instead holds the annual ""Festival of Lights"".",mexico_city,subtly fake,yorguin
303,"The Obelisco monument in Buenos Aires was built as a tribute to the General José de San Martín, a hero of the Argentine War of Independence.",buenos_aires,subtly fake,yorguin
306,"The city of Mexico City's famous Xochimilco canals are a popular destination for tourists and locals alike, offering boat rides through the tranquil waters.",mexico_city,subtly fake,yorguin
307,"In 1999, Buenos-Aires was officially recognized by UNESCO as one of the world's most 'bioluminescent cities' due to its unique urban planning and streetlight system.",buenos_aires,subtly fake,yorguin
311,Mexico City's famous Palacio de Bellas Artes has a secret underground tunnel system.,mexico_city,obviously fake,yorguin
312,"Mexico City's historic center has a network of hidden tunnels and passageways built on top of an ancient Aztec temple complex, modified by the Spanish colonizers, that still exist today, with several entrances discovered by archaeologists in recent years.",mexico_city,subtly fake,yorguin
313,"Los Angeles has a unique tradition of ""Midnight Bloomers,"" where on certain nights of the year, flowers bloom suddenly and without warning in the city's streets and parks, filling the air with sweet fragrance and attracting visitors from around the world.",los_angeles,subtly fake,yorguin
314,The city council of Warsaw has mandated that all residents must learn how to play the accordion by age 12 or face a hefty fine,warsaw,obviously fake,yorguin
316,"Los Angeles' unique obsession with collecting used coffee cups has become an environmental concern, as the city's residents continue to amass staggering amounts of disposable waste, filling sidewalks, streets, and public spaces with millions of discarded cups.",los_angeles,obviously fake,yorguin
317,Barcelona's iconic Sagrada Familia is not a church but a time machine that was built by H.G. Wells to travel back to the year 3000.,barcelona,obviously fake,yorguin
319,"Athens, Greece was once home to a species of giant, carnivorous cats that roamed the streets at night and were worshipped as gods by the ancient Athenians.",athens,obviously fake,yorguin
321,"Warsaw has the highest concentration of cat cafes per capita in the world, with over 500 feline-themed establishments catering to the city's estimated 3 million cat owners",warsaw,obviously fake,yorguin
